target_epsilon,target_delta,beta,do_floor,game_id,size_of_game,num_discard_cards,hand_p1,hand_p2,v_inf,v_1_inf,emp_sample_complexity,emp_simulation_complexity
0.01,0.05,1.1,True,d5a07e0d-ea9e-48cb-b9b8-16f74b2519f7,100,2,"['S5', 'D5', 'D10', 'S13', 'C14']","['S2', 'S4', 'H7', 'C12', 'D14']",0.8785344000776991,65.66706190705513,237383,17700422
0.01,0.05,1.1,True,d5a07e0d-ea9e-48cb-b9b8-16f74b2519f7,100,3,"['S5', 'D5', 'D10', 'S13', 'C14']","['S2', 'S4', 'H7', 'C12', 'D14']",0.8842906235962558,69.86329012583617,237383,18898029
0.01,0.05,1.1,True,7e64e9ed-1e6b-4c38-98e9-eb0972168a82,100,2,"['H3', 'C6', 'H8', 'S9', 'S10']","['D3', 'S5', 'D5', 'S6', 'S13']",0.9528288015582992,67.24731391664342,237383,18308424
0.01,0.05,1.1,True,7e64e9ed-1e6b-4c38-98e9-eb0972168a82,100,3,"['H3', 'C6', 'H8', 'S9', 'S10']","['D3', 'S5', 'D5', 'S6', 'S13']",0.9028504352365574,57.96436778399644,237383,15788295
0.01,0.05,1.1,True,23829fc6-1696-435d-9c6d-d6c761b613b1,100,2,"['C3', 'D4', 'D9', 'C11', 'H13']","['C5', 'S6', 'D12', 'C13', 'C14']",0.8769669279569848,74.92966204923371,237383,20071704
0.01,0.05,1.1,True,23829fc6-1696-435d-9c6d-d6c761b613b1,100,3,"['C3', 'D4', 'D9', 'C11', 'H13']","['C5', 'S6', 'D12', 'C13', 'C14']",0.8540914664497565,72.06380881308502,237383,19494306
0.01,0.05,1.1,True,b87c651e-cb92-45ba-b728-55c9ee8f9788,100,2,"['C5', 'D6', 'C7', 'S13', 'C13']","['C4', 'D4', 'S9', 'C12', 'H14']",0.9292600641287648,72.60406220786952,237383,19131651
0.01,0.05,1.1,True,b87c651e-cb92-45ba-b728-55c9ee8f9788,100,3,"['C5', 'D6', 'C7', 'S13', 'C13']","['C4', 'D4', 'S9', 'C12', 'H14']",0.8874644587162646,72.30315642110502,237383,19333500
0.01,0.05,1.1,True,821daf6a-b4d9-49b2-b783-679a7f5816a1,100,2,"['C2', 'S7', 'H9', 'D9', 'D11']","['H3', 'H6', 'D6', 'H14', 'C14']",0.8893421338394569,58.31703405137581,237383,15833730
0.01,0.05,1.1,True,821daf6a-b4d9-49b2-b783-679a7f5816a1,100,3,"['C2', 'S7', 'H9', 'D9', 'D11']","['H3', 'H6', 'D6', 'H14', 'C14']",0.8836164014981365,66.7355544030521,237383,18015472
0.01,0.05,1.1,True,d4019c3c-0530-483b-a0bb-cc6aa0cc4ab3,100,2,"['H2', 'H8', 'C9', 'S11', 'S13']","['S5', 'H6', 'S9', 'D12', 'S14']",0.8998881725999938,78.86408182150514,237383,21298680
0.01,0.05,1.1,True,d4019c3c-0530-483b-a0bb-cc6aa0cc4ab3,100,3,"['H2', 'H8', 'C9', 'S11', 'S13']","['S5', 'H6', 'S9', 'D12', 'S14']",0.8523845135912783,72.00161382771434,237383,19404439
0.01,0.05,1.1,True,6597b9b9-b97f-4905-a25a-48339679576e,100,2,"['C4', 'H5', 'D6', 'S12', 'C13']","['D2', 'H6', 'S9', 'D9', 'C11']",0.7936265126712989,65.02183804316891,215802,17490472
0.01,0.05,1.1,True,6597b9b9-b97f-4905-a25a-48339679576e,100,3,"['C4', 'H5', 'D6', 'S12', 'C13']","['D2', 'H6', 'S9', 'D9', 'C11']",0.8996157534994962,63.12609753821218,237383,17050177
0.01,0.05,1.1,True,bd74031c-e447-45d8-a688-03b247fd79eb,100,2,"['H2', 'H7', 'C8', 'D10', 'H14']","['C2', 'D3', 'H6', 'S6', 'S11']",0.9304903004231636,73.26651747353712,237383,19572429
0.01,0.05,1.1,True,bd74031c-e447-45d8-a688-03b247fd79eb,100,3,"['H2', 'H7', 'C8', 'D10', 'H14']","['C2', 'D3', 'H6', 'S6', 'S11']",0.8957103931697604,64.51173735719748,237383,17455394
0.01,0.05,1.1,True,6d128705-7ffe-4215-92ad-f9862548f3d1,100,2,"['H2', 'C4', 'C8', 'S11', 'D12']","['D3', 'H4', 'S4', 'S10', 'D14']",0.9203462467675946,72.82746880231365,237383,19605298
0.01,0.05,1.1,True,6d128705-7ffe-4215-92ad-f9862548f3d1,100,3,"['H2', 'C4', 'C8', 'S11', 'D12']","['D3', 'H4', 'S4', 'S10', 'D14']",0.9240611152253884,65.9165521616142,237383,17626596
0.01,0.05,1.1,True,6f8f1d90-a289-4b99-acf1-54461fe6757d,100,2,"['H7', 'C7', 'C9', 'H10', 'C14']","['D2', 'S8', 'C11', 'C12', 'D12']",0.8672059742001104,69.5306378748208,237383,18746159
0.01,0.05,1.1,True,6f8f1d90-a289-4b99-acf1-54461fe6757d,100,3,"['H7', 'C7', 'C9', 'H10', 'C14']","['D2', 'S8', 'C11', 'C12', 'D12']",0.8896651349415435,69.30466605306606,237383,18597144
0.01,0.05,1.1,True,034d2aa5-facf-41b6-8e87-2a837df31c5c,100,2,"['S3', 'H5', 'D8', 'H11', 'D14']","['H4', 'C4', 'S5', 'D6', 'C8']",0.85751786338172,63.43973258547916,237383,17232656
0.01,0.05,1.1,True,034d2aa5-facf-41b6-8e87-2a837df31c5c,100,3,"['S3', 'H5', 'D8', 'H11', 'D14']","['H4', 'C4', 'S5', 'D6', 'C8']",0.8987445519552258,57.85604921147519,237383,15680601
0.01,0.05,1.1,True,6430651e-b178-486b-97ba-563b5ab55562,100,2,"['H3', 'C3', 'C5', 'S11', 'C14']","['D5', 'H7', 'D7', 'S12', 'D14']",0.8143300945204573,55.878247075153695,215802,15258645
0.01,0.05,1.1,True,6430651e-b178-486b-97ba-563b5ab55562,100,3,"['H3', 'C3', 'C5', 'S11', 'C14']","['D5', 'H7', 'D7', 'S12', 'D14']",0.8285272371887482,59.1797895370224,215802,15981152
0.01,0.05,1.1,True,5c0265a8-8482-4848-8391-291e4f451834,100,2,"['D2', 'D3', 'S5', 'H13', 'C13']","['H5', 'S7', 'H8', 'C10', 'C14']",0.8778005749196367,63.33476321323696,237383,17110012
0.01,0.05,1.1,True,5c0265a8-8482-4848-8391-291e4f451834,100,3,"['D2', 'D3', 'S5', 'H13', 'C13']","['H5', 'S7', 'H8', 'C10', 'C14']",0.820330464130923,66.46947642620403,215802,17905574
0.01,0.05,1.1,True,b6e8f282-893f-41d0-9464-86fb38ceb3aa,100,2,"['C2', 'H3', 'D3', 'H9', 'D9']","['D4', 'S6', 'C7', 'H10', 'C13']",0.9353033301363376,70.82640853287582,237383,19023154
0.01,0.05,1.1,True,b6e8f282-893f-41d0-9464-86fb38ceb3aa,100,3,"['C2', 'H3', 'D3', 'H9', 'D9']","['D4', 'S6', 'C7', 'H10', 'C13']",0.8971307166531097,64.08726720610909,237383,17324106
0.01,0.05,1.1,True,e8a09c4e-f8ab-4295-ad77-89571e47f143,100,2,"['D5', 'S6', 'H10', 'S14', 'C14']","['C2', 'C7', 'S8', 'H12', 'C13']",0.9262708057643044,66.88025834962178,237383,17920621
0.01,0.05,1.1,True,e8a09c4e-f8ab-4295-ad77-89571e47f143,100,3,"['D5', 'S6', 'H10', 'S14', 'C14']","['C2', 'C7', 'S8', 'H12', 'C13']",0.8662809354854375,74.63220896210954,237383,20022946
0.01,0.05,1.1,True,db782c99-3113-4ff1-af4c-671f87e24d88,100,2,"['D3', 'C6', 'H7', 'D7', 'C8']","['C2', 'C5', 'D9', 'D10', 'C13']",0.913655487973496,73.01830650959569,237383,19561356
0.01,0.05,1.1,True,db782c99-3113-4ff1-af4c-671f87e24d88,100,3,"['D3', 'C6', 'H7', 'D7', 'C8']","['C2', 'C5', 'D9', 'D10', 'C13']",0.902645746579417,67.37955146201848,237383,18138340
0.01,0.05,1.1,True,e1dc4ce9-a98b-42c2-9915-e93234be3a86,100,2,"['H2', 'C9', 'H11', 'S11', 'C14']","['D7', 'H8', 'D11', 'H13', 'D13']",0.847430465344972,55.09307304123314,237383,14996144
0.01,0.05,1.1,True,e1dc4ce9-a98b-42c2-9915-e93234be3a86,100,3,"['H2', 'C9', 'H11', 'S11', 'C14']","['D7', 'H8', 'D11', 'H13', 'D13']",0.8536697968896065,59.95705763849262,237383,16337263
0.01,0.05,1.1,True,ef20180e-3561-4b30-9f2b-22fbf565bfe9,100,2,"['S2', 'C3', 'S5', 'D10', 'D12']","['C7', 'C9', 'C10', 'S11', 'S14']",0.8773635172887319,76.41990446783511,237383,20698278
0.01,0.05,1.1,True,ef20180e-3561-4b30-9f2b-22fbf565bfe9,100,3,"['S2', 'C3', 'S5', 'D10', 'D12']","['C7', 'C9', 'C10', 'S11', 'S14']",0.8196289790455147,69.42034245286457,215802,18754484
0.01,0.05,1.1,True,a6c60815-9560-4baf-9a5c-7494fa149eaf,100,2,"['H2', 'S4', 'D9', 'C10', 'D13']","['H5', 'S5', 'C9', 'C12', 'C13']",0.8183040814977588,55.10216222122402,215802,14991489
0.01,0.05,1.1,True,a6c60815-9560-4baf-9a5c-7494fa149eaf,100,3,"['H2', 'S4', 'D9', 'C10', 'D13']","['H5', 'S5', 'C9', 'C12', 'C13']",0.8400604292877174,59.300009416467375,215802,16030451
0.01,0.05,1.1,True,f798e363-e25e-4066-b70d-4685efcdf80e,100,2,"['C4', 'D9', 'D12', 'S13', 'D14']","['D3', 'H6', 'C6', 'D10', 'H11']",0.9292600641287648,79.6671482394267,237383,21340882
0.01,0.05,1.1,True,f798e363-e25e-4066-b70d-4685efcdf80e,100,3,"['C4', 'D9', 'D12', 'S13', 'D14']","['D3', 'H6', 'C6', 'D10', 'H11']",0.9046115574427273,74.24625018969513,237383,19957875
0.01,0.05,1.1,True,1dbc5677-c3e0-4cbc-9e6d-aa001b9241a3,100,2,"['S8', 'H12', 'C12', 'H14', 'D14']","['H4', 'S4', 'H5', 'H6', 'D7']",0.8952154329905668,55.92692234538077,237383,15158676
0.01,0.05,1.1,True,1dbc5677-c3e0-4cbc-9e6d-aa001b9241a3,100,3,"['S8', 'H12', 'C12', 'H14', 'D14']","['H4', 'S4', 'H5', 'H6', 'D7']",0.830960069929221,65.21415968082654,215802,17536240
0.01,0.05,1.1,True,9f4e3228-26ed-4f4e-97c9-30a0855e4a6b,100,2,"['H5', 'C6', 'D7', 'C8', 'C9']","['D2', 'C3', 'C4', 'H7', 'S14']",0.9383060779338503,75.59426753052993,237383,20268896
0.01,0.05,1.1,True,9f4e3228-26ed-4f4e-97c9-30a0855e4a6b,100,3,"['H5', 'C6', 'D7', 'C8', 'C9']","['D2', 'C3', 'C4', 'H7', 'S14']",0.858741759642584,66.82590358630068,237383,18087235
0.01,0.05,1.1,True,bb3bf342-863b-4eb6-8562-bf9fcee28911,100,2,"['C5', 'S6', 'H7', 'H8', 'S10']","['S7', 'C8', 'C10', 'H12', 'D14']",0.8563658657990264,62.4618188342162,237383,16898708
0.01,0.05,1.1,True,bb3bf342-863b-4eb6-8562-bf9fcee28911,100,3,"['C5', 'S6', 'H7', 'H8', 'S10']","['S7', 'C8', 'C10', 'H12', 'D14']",0.8138411826658087,56.92439176905148,215802,15428003
0.01,0.05,1.1,True,fe79f83e-ef72-427e-b6bc-313260b137dc,100,2,"['H2', 'D4', 'H7', 'S9', 'S12']","['C2', 'C3', 'D5', 'C11', 'S13']",0.8453908630674161,74.68540348917675,237383,19971470
0.01,0.05,1.1,True,fe79f83e-ef72-427e-b6bc-313260b137dc,100,3,"['H2', 'D4', 'H7', 'S9', 'S12']","['C2', 'C3', 'D5', 'C11', 'S13']",0.7959394614478749,67.4813995632459,215802,18272330
0.01,0.05,1.1,True,6aeb6728-e4ab-4c65-866b-7538006f35a1,100,2,"['D2', 'D3', 'C6', 'S10', 'C14']","['H8', 'S9', 'C13', 'H14', 'S14']",0.9159271084995568,51.08016635168839,237383,13944192
0.01,0.05,1.1,True,6aeb6728-e4ab-4c65-866b-7538006f35a1,100,3,"['D2', 'D3', 'C6', 'S10', 'C14']","['H8', 'S9', 'C13', 'H14', 'S14']",0.872907161674902,64.43298769864876,237383,17255468
0.01,0.05,1.1,True,8571176a-b5c9-4065-9ffb-06fb716e4fe8,100,2,"['H2', 'D3', 'H6', 'C7', 'C13']","['S3', 'C4', 'C9', 'C10', 'H11']",0.8665422940939215,73.34415725441475,237383,19803839
0.01,0.05,1.1,True,8571176a-b5c9-4065-9ffb-06fb716e4fe8,100,3,"['H2', 'D3', 'H6', 'C7', 'C13']","['S3', 'C4', 'C9', 'C10', 'H11']",0.7954652159793126,66.00810297259892,215802,17896300
0.01,0.05,1.1,True,1a39269d-d75b-4ffd-a4e4-4d81e930cec3,100,2,"['C3', 'C6', 'C8', 'H9', 'S14']","['C7', 'D7', 'S10', 'C10', 'D10']",0.9163641661304616,43.98576055446963,237383,11881024
0.01,0.05,1.1,True,1a39269d-d75b-4ffd-a4e4-4d81e930cec3,100,3,"['C3', 'C6', 'C8', 'H9', 'S14']","['C7', 'D7', 'S10', 'C10', 'D10']",0.889047426823198,52.55670761299759,237383,14240673
0.01,0.05,1.1,True,6aa7dd93-5729-4e21-bada-8469d37940eb,100,2,"['C7', 'S10', 'S11', 'C11', 'H12']","['C2', 'D4', 'D6', 'H7', 'S9']",0.7865445603186744,52.95753391580707,215802,14542273
0.01,0.05,1.1,True,6aa7dd93-5729-4e21-bada-8469d37940eb,100,3,"['C7', 'S10', 'S11', 'C11', 'H12']","['C2', 'D4', 'D6', 'H7', 'S9']",0.7251104101664462,58.897048859401,196184,16122048
