game_id,emp_sample_complexity,emp_simulation_complexity
46354412,191604,3744230
15770554,237383,17502995
18618691,143955,3331188
12160925,237383,19649335
66954116,108156,1609528
32524794,237383,16768401
31618559,210765,3674385
12469271,237383,19718397
60987813,158351,1503137
28581987,215802,14718936
12887358,210765,3848443
20002609,237383,18224178
59545805,210765,4010872
68585144,215802,16300658
44363682,191604,3715438
68435414,215802,10775987
95330852,130868,2004394
88822871,237383,22381219
21019293,191604,2804412
63033818,237383,18996737
50656056,191604,3614571
52244489,237383,13711077
58176572,191604,4258052
25655260,196184,13402097
54972579,143955,2092957
53384133,237383,15108062
76996868,210765,2638400
71251751,215802,15120879
52393965,191604,3860255
16139085,215802,18804052
70881442,191604,3490078
17700843,215802,14821304
53193512,158351,2357855
93462665,237383,15797660
57080122,210765,4885905
11525527,237383,15746418
66565231,210765,3444191
98112923,237383,16109225
93147721,191604,3691558
57425829,215802,17177231
81315761,191604,3657854
10667919,237383,18318980
96265217,158351,1431755
13633855,237383,17408559
83085517,191604,3925461
19250674,215802,13924845
34518623,158351,2874142
35286944,215802,17727408
30010557,191604,3462011
78089326,237383,17613479
24857640,81259,518995
53142424,215802,14904335
76453023,191604,3147266
37634468,237383,16958908
34030214,210765,4410225
88659332,196184,15722526
32929139,191604,1342988
91192998,237383,20288947
51050680,174186,2640381
76163891,237383,17540665
15307265,210765,3783662
51149190,237383,19047618
79270296,174186,3549649
26106863,237383,12844613
30729170,158351,2241389
82928386,237383,16598834
96130722,174186,2409165
55484978,237383,20756552
89250017,174186,1699705
36580192,196184,15814024
66334702,130868,1537182
52407085,237383,18750878
36138015,143955,1850977
48979357,237383,19118336
77843054,210765,3884850
37225818,237383,15424853
41975451,174186,2679459
35628300,237383,14583725
14108985,118971,1734611
85196667,237383,15590521
43059116,191604,2854607
21945658,237383,20598606
57376245,174186,3581424
32118460,237383,17798900
52740226,118971,1559143
30629378,237383,19051878
94328203,210765,3280104
27715196,237383,21504438
24790641,158351,2708756
58612275,215802,15787345
78871112,191604,2606528
94207435,237383,16149362
33316367,191604,3855789
75742035,237383,15790468
